user_id,attraction_id,visit_year,visit_month,rating,visit_mode_id,visit_date,user_age,user_gender,country_id,country_name,region_id,attraction_name,attraction_type_id,city_id,attraction_type_name,city_name,country_id_att,country_name_att,region_id_att,region_name,continent_id,continent_name,visit_mode_name,avg_user_rating,total_user_visits,freq_visit_mode,avg_attraction_rating,popularity_score,visit_mode_name_encoded,continent_name_encoded,country_name_encoded,attraction_type_name_encoded
45,9,2021,1,4.0,3,2021-01-01,51,O,3,USA,3,Statue of Liberty,4,3,Historic Site,New York,3,USA,3,North America Coast,3,North America,Couples,4.0,4,Couples,3.6444444444444444,45,1,2,2,0
86,2,2021,9,2.0,4,2021-09-01,66,O,3,USA,3,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Solo,3.8333333333333335,6,Couples,3.671232876712329,73,4,1,2,1
73,6,2023,8,4.0,1,2023-08-01,73,O,2,France,2,Mount Fuji,2,1,Park,Tokyo,1,Japan,1,East Asia,1,Asia,Business,4.0,7,Business,3.8125,48,0,0,0,2
54,8,2021,2,5.0,3,2021-02-01,34,O,2,France,2,Times Square,4,3,Historic Site,New York,3,USA,3,North America Coast,3,North America,Couples,4.0,2,Couples,3.744186046511628,43,1,2,0,0
46,3,2023,11,5.0,1,2023-11-01,49,M,2,France,2,Central Park,2,3,Park,New York,3,USA,3,North America Coast,3,North America,Business,3.857142857142857,7,Couples,3.7169811320754715,53,0,2,0,2
91,9,2024,6,4.0,5,2024-06-01,29,O,1,Japan,1,Statue of Liberty,4,3,Historic Site,New York,3,USA,3,North America Coast,3,North America,Friends,4.2,5,Friends,3.6444444444444444,45,3,2,1,0
59,9,2022,10,5.0,2,2022-10-01,53,M,1,Japan,1,Statue of Liberty,4,3,Historic Site,New York,3,USA,3,North America Coast,3,North America,Family,5.0,2,Family,3.6444444444444444,45,2,2,1,0
62,4,2022,10,3.0,1,2022-10-01,32,O,1,Japan,1,Universal Studios,5,4,Theme Park,Osaka,1,Japan,1,East Asia,1,Asia,Business,3.6,5,Business,3.7837837837837838,37,0,0,1,3
44,2,2022,3,4.0,5,2022-03-01,38,O,3,USA,3,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Friends,3.6666666666666665,6,Business,3.671232876712329,73,3,1,2,1
52,5,2024,8,5.0,4,2024-08-01,60,O,2,France,2,Eiffel Tower,4,2,Historic Site,Paris,2,France,2,Western Europe,2,Europe,Solo,3.7142857142857144,7,Solo,3.6724137931034484,58,4,1,0,0
50,2,2021,4,3.0,5,2021-04-01,74,F,1,Japan,1,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Friends,3.2222222222222223,9,Friends,3.671232876712329,73,3,1,1,1
76,5,2024,2,5.0,5,2024-02-01,63,F,2,France,2,Eiffel Tower,4,2,Historic Site,Paris,2,France,2,Western Europe,2,Europe,Friends,4.428571428571429,7,Friends,3.6724137931034484,58,3,1,0,0
97,2,2022,3,4.0,4,2022-03-01,60,F,1,Japan,1,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Solo,4.333333333333333,9,Family,3.671232876712329,73,4,1,1,1
72,6,2021,5,5.0,1,2021-05-01,47,F,1,Japan,1,Mount Fuji,2,1,Park,Tokyo,1,Japan,1,East Asia,1,Asia,Business,4.142857142857143,7,Business,3.8125,48,0,0,1,2
61,4,2023,8,3.0,1,2023-08-01,35,F,1,Japan,1,Universal Studios,5,4,Theme Park,Osaka,1,Japan,1,East Asia,1,Asia,Business,4.2,5,Family,3.7837837837837838,37,0,0,1,3
14,4,2021,3,4.0,2,2021-03-01,54,M,3,USA,3,Universal Studios,5,4,Theme Park,Osaka,1,Japan,1,East Asia,1,Asia,Family,3.75,4,Couples,3.7837837837837838,37,2,0,2,3
73,8,2022,4,4.0,4,2022-04-01,73,O,2,France,2,Times Square,4,3,Historic Site,New York,3,USA,3,North America Coast,3,North America,Solo,4.0,7,Business,3.744186046511628,43,4,2,0,0
67,2,2022,8,3.0,1,2022-08-01,39,F,1,Japan,1,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Business,2.8333333333333335,6,Business,3.671232876712329,73,0,1,1,1
28,5,2023,1,4.0,1,2023-01-01,42,F,1,Japan,1,Eiffel Tower,4,2,Historic Site,Paris,2,France,2,Western Europe,2,Europe,Business,4.5,4,Business,3.6724137931034484,58,0,1,1,0
27,2,2022,8,5.0,3,2022-08-01,72,F,2,France,2,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Couples,4.5,6,Couples,3.671232876712329,73,1,1,0,1
79,5,2024,4,1.0,2,2024-04-01,33,O,2,France,2,Eiffel Tower,4,2,Historic Site,Paris,2,France,2,Western Europe,2,Europe,Family,3.0,7,Business,3.6724137931034484,58,2,1,0,0
8,1,2024,4,4.0,4,2024-04-01,54,F,1,Japan,1,Tokyo Tower,4,1,Historic Site,Tokyo,1,Japan,1,East Asia,1,Asia,Solo,4.666666666666667,3,Solo,3.8653846153846154,52,4,0,1,0
96,2,2021,11,3.0,5,2021-11-01,65,O,2,France,2,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Friends,2.5,4,Friends,3.671232876712329,73,3,1,0,1
76,7,2021,2,3.0,5,2021-02-01,63,F,2,France,2,DisneySea,5,4,Theme Park,Osaka,1,Japan,1,East Asia,1,Asia,Friends,4.428571428571429,7,Friends,3.7551020408163267,49,3,0,0,3
79,1,2023,8,1.0,5,2023-08-01,33,O,2,France,2,Tokyo Tower,4,1,Historic Site,Tokyo,1,Japan,1,East Asia,1,Asia,Friends,3.0,7,Business,3.8653846153846154,52,3,0,0,0
13,5,2021,3,2.0,4,2021-03-01,26,F,2,France,2,Eiffel Tower,4,2,Historic Site,Paris,2,France,2,Western Europe,2,Europe,Solo,3.230769230769231,13,Solo,3.6724137931034484,58,4,1,0,0
55,7,2022,2,4.0,4,2022-02-01,71,M,1,Japan,1,DisneySea,5,4,Theme Park,Osaka,1,Japan,1,East Asia,1,Asia,Solo,4.166666666666667,6,Solo,3.7551020408163267,49,4,0,1,3
20,2,2022,4,4.0,3,2022-04-01,65,F,2,France,2,Louvre,1,2,Museum,Paris,2,France,2,Western Europe,2,Europe,Couples,4.125,8,Couples,3.671232876712329,73,1,1,0,1
1,5,2021,11,4.0,5,2021-11-01,65,F,3,USA,3,Eiffel Tower,4,2,Historic Site,Paris,2,France,2,Western Europe,2,Europe,Friends,3.6,5,Friends,3.6724137931034484,58,3,1,2,0
19,7,2022,2,2.0,5,2022-02-01,28,O,2,France,2,DisneySea,5,4,Theme Park,Osaka,1,Japan,1,East Asia,1,Asia,Friends,3.5,6,Couples,3.7551020408163267,49,3,0,0,3
68,6,2021,4,4.0,2,2021-04-01,51,O,1,Japan,1,Mount Fuji,2,1,Park,Tokyo,1,Japan,1,East Asia,1,Asia,Family,3.6,5,Couples,3.8125,48,2,0,1,2
87,3,2021,12,3.0,5,2021-12-01,29,M,3,USA,3,Central Park,2,3,Park,New York,3,USA,3,North America Coast,3,North America,Friends,3.8,5,Family,3.7169811320754715,53,3,2,2,2
64,3,2022,2,3.0,4,2022-02-01,63,F,3,USA,3,Central Park,2,3,Park,New York,3,USA,3,North America Coast,3,North America,Solo,3.7142857142857144,7,Family,3.7169811320754715,53,4,2,2,2
64,10,2024,4,3.0,3,2024-04-01,63,F,3,USA,3,Kyoto Shrine,4,4,Historic Site,Osaka,1,Japan,1,East Asia,1,Asia,Couples,3.7142857142857144,7,Family,3.738095238095238,42,1,0,2,0
