user_id,attraction_id,visit_year,visit_month,rating,visit_mode_id
45,9,2021,1,4.0,3
86,2,2021,9,2.0,4
73,6,2023,8,4.0,1
54,8,2021,2,5.0,3
46,3,2023,11,5.0,1
91,9,2024,6,4.0,5
59,9,2022,10,5.0,2
62,4,2022,10,3.0,1
44,2,2022,3,4.0,5
52,5,2024,8,5.0,4
50,2,2021,4,3.0,5
76,5,2024,2,5.0,5
97,2,2022,3,4.0,4
72,6,2021,5,99.0,1
61,4,2023,8,3.0,1
14,4,2021,3,4.0,2
73,8,2022,4,4.0,4
67,2,2022,8,3.0,1
28,5,2023,1,4.0,1
27,2,2022,8,5.0,3
79,5,2024,4,1.0,2
8,1,2024,4,4.0,4
96,2,2021,11,3.0,5
76,7,2021,2,3.0,5
79,1,2023,8,1.0,5
13,5,2021,3,2.0,4
55,7,2022,2,4.0,4
20,2,2022,4,4.0,3
1,5,2021,11,4.0,5
19,7,2022,2,2.0,5
68,6,2021,4,4.0,2
87,3,2021,12,3.0,5
64,3,2022,2,3.0,4
64,10,2024,4,3.0,3
78,8,2023,6,4.0,1
91,1,2023,11,5.0,3
76,6,2021,12,5.0,5
39,7,2021,9,1.0,3
64,3,2021,7,5.0,2
18,5,2021,9,5.0,1
92,4,2021,5,4.0,3
23,3,2024,8,3.0,1
67,10,2023,10,4.0,3
52,5,2023,4,5.0,3
34,1,2021,12,5.0,3
76,3,2023,3,5.0,2
89,5,2024,7,4.0,3
38,4,2022,1,5.0,3
26,2,2023,2,3.0,4
50,8,2023,11,3.0,5
87,2,2023,11,5.0,3
89,3,2021,6,4.0,2
6,6,2021,2,3.0,1
67,1,2023,6,1.0,4
70,6,2024,9,1.0,2
16,7,2022,11,4.0,1
77,10,2023,9,3.0,2
97,7,2023,6,5.0,5
34,1,2023,4,4.0,3
58,3,2024,1,4.0,3
78,5,2022,4,5.0,2
61,6,2024,8,4.0,5
78,5,2022,9,4.0,2
5,6,2021,7,2.0,3
25,3,2021,6,5.0,5
91,6,2022,4,4.0,1
61,5,2023,12,4.0,4
44,5,2023,11,3.0,2
73,2,2023,10,3.0,4
68,1,2024,12,,5
42,7,2023,9,2.0,3
89,2,2024,6,2.0,2
72,5,2023,12,4.0,4
41,9,2021,1,4.0,2
67,5,2022,11,,2
24,5,2024,8,5.0,4
90,10,2023,8,3.0,5
70,2,2021,4,5.0,2
11,7,2024,5,5.0,1
73,2,2024,6,4.0,3
34,10,2024,1,,1
32,4,2022,3,4.0,5
94,7,2021,8,4.0,5
91,2,2024,10,4.0,5
50,9,2022,7,5.0,5
46,9,2023,10,5.0,3
4,6,2022,1,5.0,4
85,3,2021,7,1.0,4
82,1,2024,1,5.0,5
55,8,2021,8,3.0,3
14,2,2023,10,4.0,3
25,6,2021,4,4.0,4
33,7,2022,1,4.0,2
11,7,2024,9,4.0,5
99,9,2021,12,2.0,4
74,9,2022,4,4.0,4
73,10,2021,10,,3
37,4,2023,8,4.0,3
48,6,2022,2,5.0,5
72,2,2021,9,3.0,1
2,6,2024,2,4.0,2
96,3,2023,8,4.0,3
88,3,2024,6,5.0,5
58,8,2024,10,4.0,5
73,7,2024,11,4.0,1
50,9,2023,2,2.0,3
49,3,2023,1,3.0,4
23,8,2023,7,2.0,2
74,1,2023,4,4.0,5
47,2,2023,12,4.0,5
2,2,2024,10,4.0,1
50,6,2023,2,4.0,1
68,4,2022,8,3.0,3
14,8,2021,7,3.0,1
15,7,2023,11,5.0,2
65,9,2022,2,4.0,3
40,9,2024,5,4.0,1
89,5,2023,4,4.0,1
6,4,2024,10,4.0,1
20,7,2021,6,5.0,3
86,3,2022,5,4.0,3
13,8,2022,12,2.0,1
90,6,2023,2,5.0,3
76,5,2022,4,4.0,5
27,6,2024,3,4.0,2
44,2,2022,11,4.0,1
28,2,2021,11,4.0,1
3,1,2022,5,4.0,4
