user_id,user_age,user_gender,country_id
1,65,F,3
2,40,F,3
3,67,M,2
4,60,O,3
5,56,F,1
6,49,F,2
7,39,M,3
8,54,F,1
9,23,O,1
10,34,F,2
11,72,F,2
12,62,O,2
13,26,F,2
14,54,M,3
15,32,O,2
16,42,M,3
17,54,O,2
18,44,O,3
19,28,O,2
20,65,F,2
21,63,M,1
22,42,O,2
23,44,F,2
24,74,F,3
25,45,O,2
26,24,O,3
27,72,F,2
28,42,F,1
29,40,O,3
30,34,F,3
31,23,M,2
32,18,M,1
33,36,O,1
34,25,O,1
35,51,F,2
36,54,F,2
37,62,F,1
38,27,O,2
39,73,O,2
40,46,O,2
41,24,M,1
42,33,M,1
43,71,F,2
44,38,O,3
45,51,O,3
46,49,M,2
47,65,F,1
48,32,F,2
49,53,M,1
50,74,F,1
51,51,O,1
52,60,O,2
53,41,O,3
54,34,O,2
55,71,M,1
56,74,M,1
57,30,O,3
58,47,O,1
59,53,M,1
60,67,O,3
61,35,F,1
62,32,O,1
63,33,F,2
64,63,F,3
65,40,F,2
66,27,O,3
67,39,F,1
68,51,O,1
69,34,O,3
70,60,M,3
71,36,F,3
72,47,F,1
73,73,O,2
74,21,O,3
75,64,F,1
76,63,F,2
77,28,O,3
78,18,O,1
79,33,O,2
80,59,O,2
81,23,F,1
82,56,O,2
83,21,F,3
84,64,F,2
85,28,O,1
86,66,O,3
87,29,M,3
88,41,F,3
89,67,F,3
90,66,O,3
91,29,O,1
92,52,F,1
93,61,M,3
94,26,M,2
95,59,F,2
96,65,O,2
97,60,F,1
98,35,M,1
99,30,F,2
100,61,F,3
